enzyme,organism,reference,pubmed_id
1.1.99.3,Pseudomonas fluorescens,389917,6815420
1.1.99.3,Serratia marcescens,389917,6815420
1.1.99.3,Gluconobacter oxydans,389918,-
1.1.99.3,Pseudomonas aeruginosa,389919,113395
1.1.99.3,Pantoea cypripedii,389920,9352901
1.1.99.3,Pantoea agglomerans,656696,12646322
1.1.99.3,Gluconobacter oxydans,684567,17720837
1.1.99.3,Gluconobacter sp.,695781,19411430
1.1.99.3,Gluconobacter frateurii,697598,-
1.1.99.3,Gluconobacter oxydans,740963,27392695
1.1.99.30,Proteus vulgaris,287841,8026480
1.1.99.30,Proteus vulgaris,287842,-
1.1.99.30,Proteus mirabilis,644550,-
1.1.99.30,Proteus sp.,644550,-
1.1.99.30,Proteus vulgaris,644550,-
1.1.99.30,Proteus mirabilis,654958,8000871
1.1.99.30,Proteus vulgaris,655314,-
1.1.99.30,Proteus vulgaris,655353,-
1.1.99.30,Proteus vulgaris,655713,-
1.1.99.31,Pseudomonas putida,667564,8241149
1.1.99.31,Pseudomonas putida,667565,10493804
1.1.99.31,Pseudomonas putida,667566,10433701
1.1.99.31,Pseudomonas putida,667567,10955993
1.1.99.31,Pseudomonas putida,667570,11502180
1.1.99.31,Pseudomonas putida,667572,12369819
1.1.99.31,Pseudomonas putida,667575,14596603
1.1.99.31,Pseudomonas putida,667577,15311930
1.1.99.31,Pseudomonas putida,669259,14604988
1.1.99.31,Acinetobacter calcoaceticus,669678,3053984
1.1.99.31,Pseudomonas putida,678122,10231535
1.1.99.31,Pseudomonas putida,678128,14967029
1.1.99.31,Pseudomonas putida,695329,19465768
1.1.99.31,Pseudomonas aeruginosa,725744,-
1.1.99.31,Pseudomonas putida,740119,25854996
1.1.99.31,Escherichia coli,740174,28133593
1.1.99.31,Pseudomonas putida,762768,30071260
1.1.99.32,Gluconobacter oxydans,677427,-
1.1.99.32,Gluconobacter oxydans,763057,32258011
1.1.99.35,Acinetobacter calcoaceticus,639204,10366508
1.1.99.35,Acinetobacter calcoaceticus,639209,9753475
1.1.99.35,Acinetobacter calcoaceticus,639216,10544015
1.1.99.35,Acinetobacter calcoaceticus,639218,10771051
1.1.99.35,Acinetobacter calcoaceticus,639220,10518528
1.1.99.35,Acinetobacter calcoaceticus,654398,-
1.1.99.35,Acinetobacter calcoaceticus,654863,12686124
1.1.99.35,Acinetobacter calcoaceticus,655127,15715904
1.1.99.35,Acinetobacter calcoaceticus,655363,-
1.1.99.35,Acinetobacter calcoaceticus,655929,15571780
1.1.99.35,Acinetobacter calcoaceticus,702202,10924133
1.1.99.35,Acinetobacter calcoaceticus,702726,-
1.1.99.35,Acinetobacter calcoaceticus,702811,-
1.1.99.35,Acinetobacter calcoaceticus,703530,9266710
1.1.99.35,Acinetobacter calcoaceticus,703532,9692926
1.1.99.35,Acinetobacter calcoaceticus,705107,8411180
1.1.99.35,Acinetobacter calcoaceticus,723943,21662989
1.1.99.35,Acinetobacter calcoaceticus,724836,-
1.1.99.35,Acinetobacter calcoaceticus,724852,-
1.1.99.35,Acinetobacter calcoaceticus,739848,24475934
1.1.99.35,Serratia marcescens,739872,23737304
1.1.99.35,Acinetobacter calcoaceticus,739873,23934069
1.1.99.35,Pseudomonas putida,739914,27287323
1.1.99.35,Acinetobacter sp.,762524,31824816
1.1.99.36,Rhodococcus erythropolis,707345,-
1.1.99.36,Amycolatopsis methanolica,708364,8385013
1.1.99.36,Amycolatopsis methanolica,709699,14690248
1.1.99.37,Bacillus methanolicus,656074,12089158
1.1.99.37,Bacillus methanolicus,656101,12351635
1.1.99.37,Amycolatopsis methanolica,708365,9249038
1.1.99.38,Niallia circulans,741329,24048029
1.1.99.39,Pseudomonas aeruginosa,762735,33301690
1.1.99.39,Pseudomonas stutzeri,763256,30131334
1.1.99.39,Pseudomonas stutzeri,763643,28827360
1.1.99.4,Gluconobacter oxydans,389922,13395514
1.1.99.4,Ewingella americana,389923,-
1.1.99.4,Pantoea cypripedii,389923,-
1.1.99.4,Rahnella aquatilis,389923,-
1.1.99.4,Serratia grimesii,389923,-
1.1.99.4,Serratia liquefaciens,389923,-
1.1.99.4,Serratia marcescens,389923,-
1.1.99.4,Shimwellia blattae,389923,-
1.1.99.4,Tatumella ptyseos,389923,-
1.1.99.4,Gluconobacter oxydans,389924,4074328
1.1.99.4,Gluconobacter sp.,389925,-
1.1.99.4,Gluconobacter oxydans,389926,-
1.1.99.4,Gluconobacter oxydans,389927,-
1.1.99.4,Frateuria aurantia,389928,-
1.1.99.4,Gluconacetobacter liquefaciens,389928,-
1.1.99.4,Gluconobacter oxydans,389928,-
1.1.99.4,Gluconobacter sphaericus,389928,-
1.1.99.4,Gluconobacter oxydans,739910,25769838
1.1.99.42,Mesorhizobium loti,745236,19218190
1.1.99.42,Mesorhizobium loti,745237,19861399
1.1.99.6,Proteus vulgaris,287841,8026480
1.1.99.6,Proteus vulgaris,287842,-
1.1.99.6,Sulfurisphaera tokodaii,693285,18691525
1.1.99.6,Aeropyrum pernix,721200,22102248
1.1.99.6,Archaeoglobus fulgidus,722504,10601217
1.1.99.6,Aeropyrum pernix,761053,30206766
1.1.99.6,Thermoproteus tenax,761053,30206766
1.1.99.7,Veillonella parvula,287844,4289051
1.1.99.7,Veillonella parvula,287845,-
1.1.99.7,Veillonella parvula,287846,4333516
1.1.99.7,Veillonella parvula,287847,4352258
1.1.99.7,Veillonella parvula,287848,6755174
1.1.99.7,Veillonella parvula,287849,4310090
1.1.99.7,Veillonella parvula,287850,5661715
1.1.99.9,Pseudomonas sp.,287851,5769992
1.1.99.9,Arthrobacter sp.,287852,3533935
1.10.3.1,Streptomyces griseus,440442,12055296
1.10.3.1,Ralstonia solanacearum,671429,16269713
1.10.3.1,Streptomyces glaucescens,673001,15968468
1.10.3.1,Streptomyces glaucescens,675458,-
1.10.3.11,Escherichia coli,714308,20416270
1.10.3.11,Gluconobacter oxydans,715401,19416958
1.10.3.11,Escherichia coli,715509,20392690
1.10.3.11,Zymomonas mobilis,715963,18089934
1.10.3.11,Gluconobacter oxydans,725319,23526305
1.10.3.11,Aliivibrio fischeri,765005,29760206
1.10.3.15,Streptomyces griseus,674768,16282322
1.10.3.15,Streptomyces griseus subsp. griseus,713565,19268377
1.10.3.15,Streptomyces griseus,722650,17003031
1.10.3.17,Escherichia coli,757122,3510204
1.10.3.17,Escherichia coli,757668,6097799
1.10.3.17,Escherichia coli,757739,29915379
1.10.3.2,Bacillus subtilis,396395,11884407
1.10.3.2,Streptomyces griseus,655919,12801920
1.10.3.2,Bacillus subtilis,674926,16680453
1.10.3.2,Bacillus licheniformis,684645,18330561
1.10.3.2,Escherichia coli,684832,17217912
1.10.3.2,Bacillus subtilis,685044,18031270
1.10.3.2,Pseudomonas putida,686437,-
1.10.3.2,Bacillus subtilis,687819,17957391
1.10.3.2,Thermus thermophilus,695374,19255479
1.10.3.2,Bacillus subtilis,696090,18307408
1.10.3.2,Shigella dysenteriae,697663,-
1.10.3.2,Kitasatospora aureofaciens,701029,-
1.10.3.2,Kamptonema formosum,701411,-
1.10.3.2,Stenotrophomonas maltophilia,718608,18931956
1.10.3.2,Bacillus pumilus,724662,21266052
1.10.3.2,Bacillus subtilis,726426,20551082
1.10.3.2,Haloferax volcanii,726713,19966030
1.10.3.2,Haloferax volcanii,728071,22752793
1.10.3.2,Lactiplantibacillus plantarum,741713,26590586
1.10.3.2,Streptomyces viridochromogenes,742013,25778839
1.10.3.2,Aquisalibacillus elongatus,742104,28161622
1.10.3.2,Bacillus amyloliquefaciens,742184,26399693
1.10.3.2,Bacillus licheniformis,742184,26399693
1.10.3.2,Pseudomonas syringae,742184,26399693
1.10.3.2,Streptomyces griseus,742184,26399693
1.10.3.2,Streptomyces cyaneus,742184,26399693
1.10.3.2,Bacillus subtilis,742984,28358283
1.10.3.2,Bacillus licheniformis,743114,-
1.10.3.2,Bacillus tequilensis,743661,24871763
1.10.3.2,Klebsiella pneumoniae,743712,-
1.10.3.2,Bacillus vallismortis,743713,-
1.10.3.2,Marinomonas mediterranea,746372,27050199
1.10.3.2,Thermus thermophilus,747393,29063287
1.10.3.2,Escherichia coli,762693,23337502
1.10.3.2,Escherichia coli,762721,21142169
1.10.3.2,Thermus thermophilus,762772,33535124
1.10.3.2,Escherichia coli,763183,20088522
1.10.3.2,Escherichia coli,763360,17804014
1.10.3.2,Escherichia coli,763726,30250139
1.10.3.2,Geobacter metallireducens,763988,29380032
1.10.3.2,Bacillus licheniformis,763996,31834437
1.10.3.2,Bacillus pumilus,763996,31834437
1.10.3.2,Rheinheimera sp.,763996,31834437
1.10.3.2,Priestia megaterium,764341,34997643
1.10.3.2,Escherichia coli,764341,34997643
1.10.3.2,Lactiplantibacillus plantarum,764341,34997643
1.10.3.2,Stenotrophomonas maltophilia,764341,34997643
1.10.3.2,Aquisalibacillus elongatus,764341,34997643
1.10.3.2,Caldalkalibacillus thermarum,764341,34997643
1.10.3.2,Pseudomonas extremorientalis,764341,34997643
1.10.3.2,Bacillus amyloliquefaciens,764445,30046841
1.10.3.2,Bacillus cereus,764445,30046841
1.10.3.2,Bacillus subtilis,764445,30046841
1.10.3.2,Halalkalibacterium halodurans,764445,30046841
1.10.3.2,Bacillus pumilus,764445,30046841
1.10.3.2,Lysinibacillus sphaericus,764445,30046841
1.10.3.2,Shigella dysenteriae,764445,30046841
1.10.3.2,Kitasatospora aureofaciens,764445,30046841
1.10.3.2,Streptomyces bikiniensis,764445,30046841
1.10.3.2,Streptomyces griseus,764445,30046841
1.10.3.2,Streptomyces lividans,764445,30046841
1.10.3.2,Bacillus tequilensis,764445,30046841
1.10.3.2,Bacillus altitudinis,764445,30046841
1.10.3.2,Bacillus safensis,764445,30046841
1.10.3.2,Streptomyces violaceusniger,764445,30046841
1.10.3.2,Bacillus amyloliquefaciens,764877,31759024
1.10.3.2,Sulfitobacter indolifex,764887,34506861
1.10.3.2,Thermus thermophilus,765102,32056499
1.10.3.2,Bacillus licheniformis,765122,34629297
1.10.3.2,Bacillus subtilis,765371,32799230
1.10.3.4,Streptomyces griseus,674768,16282322
1.10.3.4,Streptomyces antibioticus,713565,19268377
1.10.3.4,Streptomyces griseus subsp. griseus,713565,19268377
1.10.3.4,Streptomyces antibioticus,724838,-
1.10.3.4,Streptomyces antibioticus,742653,-
1.10.3.4,Streptomyces antibioticus,743128,-
1.10.3.4,Streptomyces antibioticus,743665,-
1.10.3.4,Streptomyces antibioticus,743781,-
1.10.3.5,Streptomyces antibioticus,389976,14347936
1.10.3.5,Streptomyces antibioticus,389977,4650602
1.10.3.6,Chryseobacterium sp.,688670,-
1.11.1.1,Enterococcus faecalis,395327,6803610
1.11.1.1,Enterococcus faecalis,395328,166990
1.11.1.1,Enterococcus faecalis,395329,13416259
1.11.1.1,Lactococcus lactis,395330,-
1.11.1.1,Enterococcus faecalis,395331,199166
1.11.1.1,Lacticaseibacillus casei,395332,4285876
1.11.1.1,Enterococcus faecalis,395334,2161844
1.11.1.1,Streptococcus mutans,395335,6304008
1.11.1.1,Enterococcus faecalis,395336,2512289
1.11.1.1,Enterococcus faecalis,395337,-
1.11.1.1,Enterococcus faecalis,395338,1942054
1.11.1.1,Enterococcus faecalis,395339,-
1.11.1.1,Enterococcus faecalis,395340,2501303
1.11.1.1,Enterococcus faecalis,395341,-
1.11.1.1,Clostridium perfringens,395342,10049706
1.11.1.1,Enterococcus faecalis,395343,7578008
1.11.1.1,Enterococcus faecalis,395345,7766608
1.11.1.1,Enterococcus faecalis,395346,7819235
1.11.1.1,Enterococcus faecalis,395347,8428993
1.11.1.1,Leuconostoc mesenteroides,395348,-
1.11.1.1,Enterococcus faecium,395348,-
1.11.1.1,Lactiplantibacillus plantarum,395348,-
1.11.1.1,Levilactobacillus brevis,395348,-
1.11.1.1,Lentilactobacillus buchneri,395348,-
1.11.1.1,Lacticaseibacillus casei,395348,-
1.11.1.1,Loigolactobacillus coryniformis,395348,-
1.11.1.1,Lactobacillus delbrueckii,395348,-
1.11.1.1,Liquorilactobacillus mali,395348,-
1.11.1.1,Lacticaseibacillus rhamnosus,395348,-
1.11.1.1,Leuconostoc lactis,395348,-
1.11.1.1,Pediococcus acidilactici,395348,-
1.11.1.1,Pediococcus pentosaceus,395348,-
1.11.1.1,Streptococcus thermophilus,395348,-
1.11.1.1,Enterococcus faecalis,395349,12078517
1.11.1.1,Desulfovibrio desulfuricans,658146,12139483
1.11.1.1,Enterococcus casseliflavus,672012,16363804
1.11.1.1,Pseudomonas fluorescens,674247,16159773
1.11.1.1,Enterococcus faecalis,689049,17971082
1.11.1.1,Clostridium acetobutylicum,700055,19118342
1.11.1.1,Enterococcus faecalis,742429,28889232
1.11.1.1,Enterococcus faecalis,744823,28889232
1.11.1.1,Lacticaseibacillus casei,764330,32328400
1.11.1.1,Enterococcus faecalis,764759,30515142
1.11.1.13,Bacillus velezensis,764508,33131742
1.11.1.13,Klebsiella pneumoniae,765759,-
1.11.1.13,Acinetobacter baumannii,765837,-
1.11.1.13,Alcaligenes faecalis,765837,-
1.11.1.13,Bacillus cereus,765837,-
1.11.1.13,Bacillus subtilis,765837,-
1.11.1.13,Klebsiella aerogenes,765877,29396692
1.11.1.13,Enterobacter cloacae,765877,29396692
1.11.1.13,Salmonella enterica,765877,29396692
1.11.1.13,Klebsiella pneumoniae,765877,29396692
1.11.1.14,Streptomyces viridosporus,684527,18351297
1.11.1.14,Acinetobacter calcoaceticus,684532,18506630
1.11.1.14,Brevibacillus laterosporus,702802,-
1.11.1.14,Comamonas sp.,704810,-
1.11.1.14,Streptomyces viridosporus,706908,100514925
1.11.1.14,Streptomyces lavendulae,711497,20537891
1.11.1.14,Rhodococcus jostii,724318,21534568
1.11.1.14,Streptomyces griseosporeus,742684,25478960
1.11.1.14,Rhodococcus jostii,763987,30302519
1.11.1.14,Pseudomonas fluorescens,764311,32827973
1.11.1.16,Pseudomonas putida,724096,23820555
1.11.1.16,Pseudomonas putida,724379,23560556
1.11.1.17,Marichromatium gracile,698716,11399772
1.11.1.18,Pseudomonas putida,671907,8490583
1.11.1.18,Pseudomonas fluorescens,672312,7632719
1.11.1.18,Kitasatospora aureofaciens,672433,3122838
1.11.1.18,Streptomyces griseus,675171,3151989
1.11.1.18,Streptomyces venezuelae,675172,2628543
1.11.1.18,Kitasatospora aureofaciens,675173,1783900
1.11.1.18,Kitasatospora aureofaciens,675174,1527491
1.11.1.18,Kitasatospora aureofaciens,675819,8012573
1.11.1.18,Streptomyces venezuelae,675820,8868441
1.11.1.18,Kitasatospora aureofaciens,711201,19883129
1.11.1.18,Synechococcus sp.,725778,27020015
1.11.1.18,Kitasatospora aureofaciens,764075,31204052
1.11.1.19,Anabaena sp.,710971,20422179
1.11.1.19,Anabaena sp.,710977,20495915
1.11.1.19,Bacillus subtilis,710977,20495915
1.11.1.19,Bacteroides thetaiotaomicron,710977,20495915
1.11.1.19,Escherichia coli,710977,20495915
1.11.1.19,Shewanella oneidensis,710977,20495915
1.11.1.19,Thermobifida fusca,710977,20495915
1.11.1.19,Bacteroides thetaiotaomicron,711709,19099183
1.11.1.19,Escherichia coli,711709,19099183
1.11.1.19,Shewanella oneidensis,711709,19099183
1.11.1.19,Bacillus subtilis,724099,23820555
1.11.1.19,Bacillus subtilis,724379,23560556
1.11.1.19,Zymomonas mobilis,724776,24063237
1.11.1.19,Pseudomonas putida,741485,-
1.11.1.19,Streptococcus thermophilus,741695,26092460
1.11.1.19,Bacillus subtilis,741738,23820555
1.11.1.19,Pseudomonas putida,741738,23820555
1.11.1.19,Escherichia coli,741833,28109884
1.11.1.19,Vibrio cholerae,741919,26431465
1.11.1.19,Streptomyces griseosporeus,742684,25478960
1.11.1.19,Thermomonospora curvata,742882,26205819
1.11.1.19,Streptomyces avermitilis,742940,28089379
1.11.1.19,Saccharomonospora viridis,743647,25333297
1.11.1.19,Bacillus subtilis,743707,-
1.11.1.19,Bacillus subtilis,743804,25650125
1.11.1.19,Thermobifida fusca,743864,-
1.11.1.19,Bacillus subtilis,764030,32971035
1.11.1.19,Pseudomonas fluorescens,764337,28326617
1.11.1.19,Bacillus subtilis,764423,-
1.11.1.19,Saccharomonospora viridis,764423,-
1.11.1.19,Thermobifida fusca,764423,-
1.11.1.19,Thermomonospora curvata,764423,-
1.11.1.19,Streptomyces lividans,764461,30945782
1.11.1.19,Streptomyces albidoflavus,764606,33051013
1.11.1.19,Bacillus subtilis,764888,34687768
1.11.1.19,Streptomyces avermitilis,764925,34445389
1.11.1.19,Vibrio cholerae,765203,33756393
1.11.1.19,Cellulomonas bogoriensis,765416,30934796
1.11.1.2,Desulfovibrio desulfuricans,657524,16887686
1.11.1.2,Treponema primitia,657594,15006747
1.11.1.21,Mycobacterium tuberculosis,439783,9006925
1.11.1.21,Halobacterium salinarum,439789,8320233
1.11.1.21,Rhodobacter capsulatus,439790,3571290
1.11.1.21,Burkholderia pseudomallei,654062,12454496
1.11.1.21,Mycobacterium tuberculosis,654206,12543676
1.11.1.21,Escherichia coli,654365,14678798
1.11.1.21,Synechocystis sp.,654706,12731870
1.11.1.21,Mycobacterium tuberculosis,654769,15628865
1.11.1.21,Mycobacterium sp.,655626,14553939
1.11.1.21,Burkholderia pseudomallei,656158,12832453
1.11.1.21,Mycobacterium tuberculosis,674445,15840564
1.11.1.21,Synechocystis sp.,674523,15637065
1.11.1.21,Burkholderia pseudomallei,677057,17063492
1.11.1.21,Escherichia coli,685401,18413236
1.11.1.21,Burkholderia cenocepacia,686777,17371508
1.11.1.21,Escherichia coli,688196,18635265
1.11.1.21,Mycobacterium tuberculosis,698985,19139098
1.11.1.21,Oceanobacillus oncorhynchi subsp. incaldanensis,701415,-
1.11.1.21,Archaeoglobus fulgidus,713946,18178143
1.11.1.21,Burkholderia pseudomallei,713946,18178143
1.11.1.21,Escherichia coli,713946,18178143
1.11.1.21,Geobacillus stearothermophilus,713946,18178143
1.11.1.21,Mycobacterium tuberculosis,713946,18178143
1.11.1.21,Rhodobacter capsulatus,713946,18178143
1.11.1.21,Synechocystis sp.,713946,18178143
1.11.1.21,Escherichia coli,714015,15147967
1.11.1.21,Mycobacterium tuberculosis,714115,9766000
1.11.1.21,Escherichia coli,714144,10801338
1.11.1.21,Mycobacterium tuberculosis,714145,10933818
1.11.1.21,Klebsiella pneumoniae,714283,2029529
1.11.1.21,Haloarcula marismortui,714289,7947969
1.11.1.21,Synechocystis sp.,714328,20026288
1.11.1.21,Synechocystis sp.,714389,10543446
1.11.1.21,Mycobacterium tuberculosis,714795,16315359
1.11.1.21,Synechocystis sp.,714890,12603334
1.11.1.21,Archaeoglobus fulgidus,714935,11699646
1.11.1.21,Synechocystis sp.,715014,17217949
1.11.1.21,Mycobacterium tuberculosis,715014,17217949
1.11.1.21,Caulobacter vibrioides,715053,20002190
1.11.1.21,Bradyrhizobium japonicum,715060,1645695
1.11.1.21,Escherichia coli,715326,3886630
1.11.1.21,Caulobacter vibrioides,715335,9352936
1.11.1.21,Synechocystis sp.,715337,10074082
1.11.1.21,Mycobacterium tuberculosis,715431,9395452
1.11.1.21,Mycobacterium tuberculosis,715469,15231843
1.11.1.21,Burkholderia pseudomallei,715665,19290552
1.11.1.21,Mycobacterium tuberculosis,715806,9291321
1.11.1.21,Escherichia coli,715812,16516299
1.11.1.21,Mycobacterium tuberculosis,715817,15917090
1.11.1.21,Burkholderia pseudomallei,715897,12628252
1.11.1.21,Mycobacterium tuberculosis,716245,7746145
1.11.1.21,Mycobacterium tuberculosis,716246,8939440
1.11.1.21,Burkholderia pseudomallei,716867,17063492
1.11.1.21,Escherichia coli,724091,23653125
1.11.1.21,Mycobacterium tuberculosis,724122,22705398
1.11.1.21,Burkholderia pseudomallei,724395,24044787
1.11.1.21,Mycobacterium tuberculosis,724466,23084782
1.11.1.21,Bacillus pumilus,724571,21996477
1.11.1.21,Mycobacterium tuberculosis,725495,22918833
1.11.1.21,Escherichia coli,725649,23018273
1.11.1.21,Haloarcula marismortui,726568,11468404
1.11.1.21,Haloarcula marismortui,727100,9924978
1.11.1.21,Haloarcula marismortui,728363,12172540
1.11.1.21,Mycobacterium tuberculosis,741761,24280274
1.11.1.21,Mycobacterium tuberculosis,741909,25674665
1.11.1.21,Escherichia coli,741973,25964067
1.11.1.21,Burkholderia pseudomallei,742247,24846396
1.11.1.21,Mycobacterium avium,742348,25070007
1.11.1.21,Mycobacterium tuberculosis,743018,28743650
1.11.1.21,Bacillus pumilus,743032,27016935
1.11.1.21,Mycobacterium tuberculosis,743125,28303436
1.11.1.21,Bacillus pumilus,743763,25663126
1.11.1.21,Haloarcula marismortui,743784,-
1.11.1.21,Mycobacterium tuberculosis,765180,29990547
1.11.1.21,Mycobacterium tuberculosis,765229,30140323
1.11.1.21,Mycobacterium tuberculosis,765846,33444527
1.11.1.21,Mycobacterium tuberculosis,765867,29523317
1.11.1.21,Mycobacterium tuberculosis,765868,30711159
1.11.1.22,Synechocystis sp.,720727,15347790
1.11.1.22,Synechocystis sp.,722255,11418106
1.11.1.23,Streptomyces wedmorensis,701481,16511089
1.11.1.23,Streptomyces wedmorensis,701900,16150418
1.11.1.23,Pseudomonas syringae,702244,18656958
1.11.1.23,Streptomyces wedmorensis,704157,15315444
1.11.1.23,Streptomyces wedmorensis,728377,23552950
1.11.1.23,Streptomyces wedmorensis,729898,24512048
1.11.1.23,Yersinia pseudotuberculosis,730966,24114783
1.11.1.24,Helicobacter pylori,655833,11222594
1.11.1.24,Escherichia coli,656181,14506251
1.11.1.24,Mycobacterium tuberculosis,674606,16682410
1.11.1.24,Aeropyrum pernix,675358,16214169
1.11.1.24,Rhizobium etli,676046,15686565
1.11.1.24,Thermotoga maritima,684197,18097097
1.11.1.24,Saccharolobus solfataricus,686695,18355320
1.11.1.24,Rhodospirillum rubrum,687419,17951375
1.11.1.24,Cereibacter sphaeroides,687610,17644813
1.11.1.24,Mycobacterium tuberculosis,696360,19737009
1.11.1.24,Helicobacter pylori,699998,18554535
1.11.1.24,Mycobacterium tuberculosis,699998,18554535
1.11.1.24,Staphylococcus aureus,710726,19923729
1.11.1.24,Xylella fastidiosa,712427,20335172
1.11.1.24,Pyrococcus horikoshii,722563,12944367
1.11.1.24,Aeropyrum pernix,727841,12707274
1.11.1.24,Pyrococcus horikoshii,745231,15625325
1.11.1.24,Thermotoga maritima,746907,22982531
1.11.1.24,Thermotoga maritima,746936,21400100
1.11.1.24,Escherichia coli,754059,10644761
1.11.1.24,Leptospira interrogans,756490,-
1.11.1.24,Azorhizobium caulinodans,756742,30657885
1.11.1.24,Corynebacterium glutamicum,758163,29438446
1.11.1.25,Neisseria meningitidis,765352,31765768
1.11.1.26,Thermus aquaticus,655986,10862622
1.11.1.26,Escherichia coli,752384,25372677
1.11.1.26,Francisella tularensis subsp. holarctica,758182,30870480
1.11.1.26,Pseudomonas aeruginosa,758315,31909437
1.11.1.26,Escherichia coli,758424,30237544
1.11.1.26,Escherichia coli,763998,33630151
1.11.1.26,Enterococcus faecalis,764707,31047989
1.11.1.26,Shewanella oneidensis,764736,30899252
1.11.1.26,Yersinia pseudotuberculosis,764740,34025596
1.11.1.26,Shewanella oneidensis,765064,32532818
1.11.1.26,Azospirillum brasilense,765359,-
1.11.1.26,Pseudomonas aeruginosa,765748,34315109
1.11.1.27,Neisseria meningitidis,655577,14596930
1.11.1.28,Mycobacterium tuberculosis,754057,10766746
1.11.1.28,Azorhizobium caulinodans,756742,30657885
1.11.1.28,Xylella fastidiosa,758233,28028230
1.11.1.28,Escherichia coli,758424,30237544
1.11.1.28,Burkholderia thailandensis,764731,31338075
1.11.1.29,Mycobacterium tuberculosis,741994,28499823
1.11.1.29,Mycobacterium tuberculosis,745315,24379404
1.11.1.29,Mycobacterium tuberculosis,753247,27471753
1.11.1.29,Mycobacterium tuberculosis,765134,31718175
1.11.1.5,Pseudomonas stutzeri,394608,6329754
1.11.1.5,Pseudomonas aeruginosa,394609,6297595
1.11.1.5,Pseudomonas aeruginosa,394610,6307263
1.11.1.5,Acidithiobacillus thiooxidans,394613,-
1.11.1.5,Pseudomonas aeruginosa,394620,4356445
1.11.1.5,Methylococcus capsulatus,394626,9325424
1.11.1.5,Marinobacter nauticus,394632,10525144
1.11.1.5,Rhodobacter capsulatus,394633,11737210
1.11.1.5,Paracoccus denitrificans,394634,-
1.11.1.5,Nitrosomonas europaea,394635,8163487
1.11.1.5,Rhodobacter capsulatus,657443,11856842
1.11.1.5,Pseudomonas stutzeri,657453,12554948
1.11.1.5,Paracoccus denitrificans,657463,14747715
1.11.1.5,Neisseria gonorrhoeae,657830,12720546
1.11.1.5,Paracoccus denitrificans,657977,12590592
1.11.1.5,Nitrosomonas europaea,659313,14973133
1.11.1.5,Escherichia coli,659521,12589560
1.11.1.5,Pseudomonas stutzeri,659522,12459896
1.11.1.5,Marinobacter nauticus,660523,15274917
1.11.1.5,Paracoccus denitrificans,663915,2173903
1.11.1.5,Pseudomonas stutzeri,663915,2173903
1.11.1.5,Paracoccus denitrificans,663918,-
1.11.1.5,Paracoccus denitrificans,663999,9201942
1.11.1.5,Nitrosomonas europaea,664002,11695895
1.11.1.5,Rhodobacter capsulatus,664810,9851688
1.11.1.5,Pseudomonas aeruginosa,664924,8543038
1.11.1.5,Pseudomonas aeruginosa,665456,6257720
1.11.1.5,Pseudomonas aeruginosa,666006,8396649
1.11.1.5,Pseudomonas aeruginosa,666946,8591033
1.11.1.5,Methylococcus capsulatus,673536,16336269
1.11.1.5,Rhodobacter capsulatus,674744,16314410
1.11.1.5,Nitrosomonas europaea,675239,17064778
1.11.1.5,Paracoccus pantotrophus,677153,16407070
1.11.1.5,Pseudomonas aeruginosa,679215,17634996
1.11.1.5,Escherichia coli,685084,17718514
1.11.1.5,Pseudomonas aeruginosa,685208,18217775
1.11.1.5,Paracoccus pantotrophus,685251,18442258
1.11.1.5,Campylobacter jejuni,687074,18086814
1.11.1.5,Paracoccus pantotrophus,687816,17361419
1.11.1.5,Paracoccus pantotrophus,687825,18365258
1.11.1.5,Pseudomonas aeruginosa,688187,17568678
1.11.1.5,Escherichia coli,688857,17464064
1.11.1.5,Pseudomonas aeruginosa,702343,19072039
1.11.1.5,Geobacter sulfurreducens,705165,19735665
1.11.1.5,Shewanella oneidensis,724008,21742904
1.11.1.5,Geobacter sulfurreducens,724337,22417533
1.11.1.5,Shewanella oneidensis,724366,22239664
1.11.1.5,Zymomonas mobilis,725756,21422762
1.11.1.5,Nitrosomonas europaea,741922,26575087
1.11.1.5,Shewanella oneidensis,741922,26575087
1.11.1.5,Zymomonas mobilis,743248,24980645
1.11.1.5,Nitrosomonas europaea,764157,30335984
1.11.1.5,Shewanella oneidensis,764157,30335984
1.11.1.6,Methanobrevibacter arboriphilus,439774,11425719
1.11.1.6,Vibrio rumoiensis,439778,10714995
1.11.1.6,Methanosarcina barkeri,439779,10382262
1.11.1.6,Pseudomonas aeruginosa,439780,10508094
1.11.1.6,Cereibacter sphaeroides,439782,9575236
1.11.1.6,Halobacterium salinarum,439785,7814327
1.11.1.6,Cytobacillus firmus,439786,7748885
1.11.1.6,Pseudomonas syringae,439787,7546603
1.11.1.6,Halobacterium salinarum,439789,8320233
1.11.1.6,Rhodobacter capsulatus,439790,3571290
1.11.1.6,Escherichia coli,439792,-
1.11.1.6,Micrococcus luteus,439792,-
1.11.1.6,Rhodobacter capsulatus,439792,-
1.11.1.6,Rhodospirillum rubrum,439792,-
1.11.1.6,Escherichia coli,439794,-
1.11.1.6,Zavarzinia compransoris,439801,-
1.11.1.6,Escherichia coli,439802,374409
1.11.1.6,Micrococcus luteus,439807,-
1.11.1.6,Bacteroides fragilis,439808,12054464
1.11.1.6,Bordetella pertussis,439808,12054464
1.11.1.6,Escherichia coli,439808,12054464
